wn_synset	babelnet_id	pos	lemmata	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:05125377n	bn:00003268n	n	scope, range, reach, orbit, compass, ambit	"an area in which something acts or operates or has power or control: ""the range of a supersonic jet"""	0.681	8	6	NO
wn:02701730n	bn:00003442n	n	American_organ	a free-reed instrument in which air is drawn in through reeds by suction bellows	0.531	14	10	YES
wn:09789304n	bn:00003586n	n	amorist	one dedicated to love and lovemaking especially one who writes about love	0.25	10	6	NO
wn:05861067n	bn:00003604n	n	sum, amount, total	a quantity obtained by the addition of a group of numbers	0.191	10	8	NO
wn:11512144n	bn:00003670n	n	nonlinear_distortion, amplitude_distortion	distortion that occurs when the output signal does not have a linear relation to the input signal	0.053	12	8	YES
wn:00429048n	bn:00003693n	n	entertainment, amusement	an activity that is diverting and that holds the attention	0.104	9	7	YES
wn:15265219n	bn:00003939n	n	andante	a moderately slow tempo (a walking pace)	1.0	8	6	YES
wn:07040148n	bn:00003940n	n	andante	a musical composition or musical passage to be performed moderately slow	0.764	2	6	YES
wn:10817458n	bn:00003948n	n	Anderson, Marian_Anderson	United States contralto noted for her performance of spirituals (1902-1993)	0.313	13	9	NO
wn:11291284n	bn:00003981n	n	Segovia, Andres_Segovia	Spanish guitarist who made classical guitar a concert instrument (1893-1987)	0.176	12	8	NO
wn:11136405n	bn:00003990n	n	Lloyd_Webber, Andrew_Lloyd_Webber, Baron_Lloyd_Webber_of_Sydmonton	English composer of many successful musicals (some in collaboration with Sir Tim Rice) (born in 1948)	0.401	12	8	NO
wn:02712907n	bn:00004256n	n	animalization	a depiction in the form of an animal	0.769	13	9	NO
wn:09795124n	bn:00004355n	n	announcer	reads news, commercials on radio or television	0.112	10	6	NO
wn:07048928n	bn:00004526n	n	anthem	a song of devotion or loyalty (as to a nation or school)	0.461	3	7	YES
wn:07035870n	bn:00004527n	n	hymn, anthem	a song of praise (to God or to a saint or to a nation)	0.196	4	7	YES
wn:09796185n	bn:00004578n	n	anthropoid, ape	person who resembles a nonhuman primate	0.25	10	6	NO
wn:07033245n	bn:00004714n	n	antiphon, antiphony	a verse or song to be chanted or sung in response	0.282	3	6	YES
wn:07048782n	bn:00004716n	n	antiphony	alternate (responsive) singing by a choir in two parts	0.6	1	5	YES
wn:10938640n	bn:00004765n	n	Domino, Fats_Domino, Antoine_Domino	United States rhythm and blues pianist and singer and composer (born in 1928)	0.649	12	8	NO
wn:10868025n	bn:00004769n	n	Bruckner, Anton_Bruckner	Austrian organist and composer of romantic music (1824-1896)	0.528	12	8	NO
wn:11273286n	bn:00004771n	n	Rubinstein, Anton_Rubenstein, Anton_Gregor_Rubinstein, Anton_Grigorevich_Rubinstein	Russian composer and pianist (1829-1894)	0.504	12	8	NO
wn:10946961n	bn:00004773n	n	Dvorak, Antonin_Dvorak	Czech composer who combined folk elements with traditional forms (1841-1904)	0.496	12	8	NO
wn:11367910n	bn:00004780n	n	Vivaldi, Antonio_Vivaldi, Antonio_Lucio_Vivaldi	Italian baroque composer and violinist (1675-1741)	0.369	12	8	NO
wn:11320821n	bn:00004782n	n	Stradivari, Antonio_Stradivari, Stradivarius, Antonius_Stradivarius	Italian violin maker who developed the modern violin and created violins of unequaled tonal quality (1644?-1737)	0.26	11	7	NO
wn:00549472n	bn:00004860n	n	apery, mimicry	the act of mimicking; imitative behavior	0.167	10	8	NO
wn:06691989n	bn:00005053n	n	applause, hand_clapping, clapping	a demonstration of approval by clapping the hands together	0.327	5	5	YES
wn:05126066n	bn:00005163n	n	approximate_range, ballpark	near to the scope or range of something	1.0	9	7	NO
wn:11103648n	bn:00005302n	n	Khachaturian, Aram_Khachaturian, Aram_Ilich_Khachaturian	Russian composer (born in Armenia) whose works are romantic and reflect his interest in folk music (1903-1978)	0.358	12	8	NO
wn:11095587n	bn:00005303n	n	Kachaturian, Aram_Kachaturian	Armenian composer who incorporated oriental folk music (1903-1978)	0.357	12	8	NO
wn:10910948n	bn:00005378n	n	Corelli, Arcangelo_Corelli	Italian violinist and composer of violin concertos (1653-1713)	0.496	12	8	NO
wn:07049514n	bn:00005624n	n	aria	an elaborate song for solo voice	0.78	3	7	YES
wn:07049634n	bn:00005638n	n	arietta, short_aria	a short aria	1.0	4	8	YES
wn:07087508n	bn:00005646n	n	arioso	(music) a short recitative that is melodic but is not an aria	0.841	4	8	YES
wn:09809134n	bn:00005799n	n	arms_manufacturer	someone who manufactures arms and munitions	0.01	11	7	NO
wn:10823199n	bn:00005802n	n	Armstrong, Louis_Armstrong, Satchmo	United States pioneering jazz trumpeter and bandleader (1900-1971)	0.416	12	8	NO
wn:11285902n	bn:00005839n	n	Schonberg, Arnold_Schonberg, Schoenberg, Arnold_Schoenberg	United States composer and musical theorist (born in Austria) who developed atonal composition (1874-1951)	0.503	12	8	NO
wn:06869610n	bn:00005858n	n	arpeggio	a chord whose notes are played in rapid succession rather than simultaneously	0.771	9	9	YES
wn:07038400n	bn:00005865n	n	musical_arrangement, arrangement	a piece of music that has been adapted for performance by a particular set of voices or instruments	0.823	2	6	YES
wn:00939628n	bn:00005866n	n	arrangement, arranging, transcription	the act of arranging and adapting a piece of music	0.795	11	9	YES
wn:00048225n	bn:00005885n	n	arrival, reaching	accomplishment of an objective	0.828	9	7	NO
wn:07065333n	bn:00005947n	n	progressive_rock, art_rock	a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing	0.833	4	7	YES
wn:11332688n	bn:00005950n	n	Tatum, Art_Tatum, Arthur_Tatum	United States jazz pianist who was almost completely blind; his innovations influenced many other jazz musicians (1910-1956)	0.633	12	8	NO
wn:10970488n	bn:00006095n	n	Fiedler, Arthur_Fiedler	popular United States conductor (1894-1979)	0.469	12	8	NO
